sectorname,part,floor_fl,ceiling_fl,vertices_deg_min_sec
1,1,305,660,"511308N,0001600W;511048N,0001344W;510853N,0001125W;505057N,0000716E;503700N,0003938W;504233N,0004532W;504149N,0005018W;504121N,0011225W;504105N,0012329W;504035N,0014110W;504024N,0020000W;511027N,0020000W;511308N,0001558W"
1,2,295,660,"505152N,0001045E;505057N,0001155E;502405N,0004611E;500000N,0001500W;500001N,0003200W;502948N,0003200W;503700N,0003938W;505152N,0001045E"
2,1,305,660,"520000N,0011226W;520939N,0004942W;515433N,0001425W;520228N,0001524E;512658N,0005532E;512704N,0004758E;510105N,0011832E;505416N,0012800E;503944N,0012717E;505530N,0010512E;510238N,0004855E;505904N,0000125E;510853N,0001125W;511308N,0001600W;515111N,0005745W;520000N,0011226W"
2,2,355,660,"505904N,0000125E;510238N,0004855E;505530N,0010512E;503944N,0012717E;505904N,0000125E"
2,3,315,660,"512704N,0004758E;512658N,0005532E;512300N,0020000E;510700N,0020000E;510000N,0012800E;505416N,0012800E;510105N,0011832E;512704N,0004758E"
3,1,285,335,"543000N,0033533W;543007N,0025245W;540848N,0023433W;540043N,0022743W;540147N,0013515W;534309N,0011618W;531836N,0005724W;530625N,0004612W;531017N,0012043W;530031N,0014740W;531225N,0015844W;533144N,0021700W;533947N,0025224W;534125N,0032734W;543000N,0033533W"
4,1,335,660,"543000N,0033533W;543007N,0025245W;540848N,0023433W;540043N,0022743W;540147N,0013515W;534309N,0011618W;531836N,0005724W;530625N,0004612W;531017N,0012043W;530031N,0014740W;531225N,0015844W;531029N,0020557W;525100N,0024529W;525333N,0025014W;525340N,0025354W;525355N,0030209W;525423N,0031838W;525437N,0032653W;525542N,0041447W;531112N,0050859W;531148N,0053000W;534048N,0053000W;534602N,0053000W;534817N,0053000W;534617N,0043112W;535419N,0042151W;535358N,0040608W;534149N,0033649W;534125N,0032734W;543000N,0033533W"
5,1,0,335,"531148N,0053000W;531112N,0050859W;525542N,0041447W;525423N,0031838W;525340N,0025354W;525333N,0025014W;525100N,0024529W;525045N,0024528W;524149N,0023750W;523251N,0023014W;521626N,0021213W;520946N,0020500W;520916N,0020428W;520001N,0024700W;520001N,0031635W;520522N,0035849W;523550N,0045152W;525705N,0053000W;531148N,0053000W"
5,2,265,335,"520916N,0020428W;515942N,0015411W;515336N,0014741W;514751N,0014136W;514126N,0020000W;511527N,0020000W;512905N,0034542W;520522N,0035849W;520001N,0031635W;520001N,0024700W;520916N,0020428W"
6,1,0,305,"495457N,0023012W;494929N,0030203W;494707N,0031534W;494414N,0033146W;493905N,0040005W;493718N,0040941W;511719N,0034740W;512921N,0041210W;512905N,0034542W;511527N,0020000W;505543N,0020000W;504947N,0023317W;504459N,0023107W;503947N,0023109W;503712N,0021731W;503146N,0022018W;501745N,0022725W;495457N,0023012W"
7,1,285,335,"531225N,0015844W;531029N,0020557W;525100N,0024529W;525333N,0025014W;525340N,0025354W;525355N,0030209W;525423N,0031838W;525437N,0032653W;525542N,0041447W;531112N,0050859W;531148N,0053000W;534048N,0053000W;534602N,0053000W;534817N,0053000W;534617N,0043112W;535419N,0042151W;535358N,0040608W;534149N,0033649W;534125N,0032734W;533947N,0025224W;533144N,0021700W;531225N,0015844W"
8,1,0,335,"525705N,0053000W;520522N,0035849W;512905N,0034542W;512921N,0041210W;514034N,0060027W;520049N,0060720W;522000N,0053000W;525705N,0053000W"
9,1,0,660,"520049N,0060720W;514034N,0060027W;512921N,0041210W;511719N,0034740W;493718N,0040941W;492841N,0045459W;485000N,0080000W;493459N,0080000W;510000N,0080000W;512528N,0071351W;520049N,0060720W"
10,1,285,335,"540147N,0013515W;540147N,0003928W;540144N,0002907W;540145N,0001852W;540145N,0000602E;533539N,0002756E;533230N,0005045E;532856N,0005709E;525324N,0004619E;530426N,0004422W;530625N,0004612W;531223N,0005140W;531550N,0005451W;531836N,0005724W;534039N,0011419W;534309N,0011616W;535809N,0013132W;540147N,0013515W"
10,2,0,335,"540145N,0000602E;540144N,0001447E;540141N,0002719E;532302N,0024006E;531813N,0024400E;531710N,0025209E;531441N,0031102E;531029N,0032158E;525501N,0030854E;523250N,0025026E;522819N,0024644E;522842N,0023414E;523235N,0020608E;523412N,0015411E;522510N,0012816E;522535N,0010558E;522615N,0001348E;522621N,0000147E;522626N,0001012W;530426N,0004422W;525324N,0004619E;532856N,0005709E;533230N,0005045E;533539N,0002756E;540145N,0000602E"
11,1,335,660,"540145N,0000602E;540144N,0001447E;540141N,0002719E;532302N,0024006E;531813N,0024400E;531710N,0025209E;531441N,0031102E;531029N,0032158E;525501N,0030854E;523250N,0025026E;522819N,0024644E;522842N,0023414E;523235N,0020608E;523412N,0015411E;522510N,0012816E;522535N,0010558E;522615N,0001348E;522621N,0000147E;522626N,0001012W;530426N,0004422W;530625N,0004612W;531223N,0005140W;531550N,0005451W;531836N,0005724W;534039N,0011419W;534309N,0011616W;535809N,0013132W;540147N,0013515W;540147N,0003928W;540144N,0002907W;540145N,0001852W;540145N,0000602E"
12,1,215,660,"522615N,0001348E;522535N,0010558E;522510N,0012816E;523412N,0015411E;523235N,0020608E;522842N,0023414E;522819N,0024644E;522319N,0024237E;521826N,0023838E;520653N,0022917E;515702N,0022123E;515619N,0015102E;514827N,0013643E;520713N,0005149E;521221N,0004819E;521104N,0003242E;521104N,0000528E;521906N,0000344W;522122N,0000147E;522615N,0001348E"
12,2,245,660,"521104N,0000528E;521104N,0003242E;521221N,0004819E;520713N,0005149E;514827N,0013643E;514519N,0005029E;514417N,0003607E;515243N,0002633E;520228N,0001524E;521104N,0000528E"
13,1,245,660,"514417N,0003607E;514519N,0005029E;514827N,0013643E;515619N,0015102E;515702N,0022123E;513000N,0020000E;512638N,0020000E;512300N,0020000E;512430N,0013643E;512617N,0010724E;512658N,0005532E;513156N,0005000E;514004N,0004052E;514417N,0003607E"
14,1,215,245,"514827N,0013643E;515619N,0015102E;515702N,0022123E;513000N,0020000E;512638N,0020000E;512300N,0020000E;512430N,0013643E;514827N,0013643E"
15,1,195,255,"512715N,0003300E;510834N,0003514E;510910N,0003349E;511734N,0000925E"
15,2,195,275,"512715N,0003300E;512704N,0004758E;510105N,0011832E;505416N,0012800E;505530N,0010512E;510238N,0004855E;510834N,0003514E;512715N,0003300E"
15,3,195,315,"512704N,0004758E;512658N,0005531E;512554N,0011303E;512450N,0013119E;510000N,0012800E;505416N,0012800E;510105N,0011832E;512704N,00047058E"
15,4,135,315,"512450N,0013119E;512300N,0020000E;510700N,0020000E;510000N,0012800E;512450N,0013119E"
16,1,275,305,"505842N,0005754E;510105N,0011832E;505416N,0012800E;505530N,0010512E;505842N,0005754E"
16,2,0,305,"505530N,0010512E;505416N,0012800E;504244N,0014405E;503607N,0013220E;503944N,0012717E;505530N,0010512E"
17,1,195,255,"510853N,0001125W;511734N,0000925E;510910N,0003349E;510834N,0003514E;510238N,0004855E;505904N,0000124E;510853N,0001125W"
17,2,195,355,"510238N,0004855E;505656N,0010156E;504617N,0005850E;505904N,0000124E;510238N,0004855E"
17,3,195,660,"505914N,0000124E;504617N,0005850E;504219N,0005741E;503330N,0003416E;505057N,0001155E;505904N,0000124E"
17,4,145,355,"505656N,0010156E;505530N,0010512E;503944N,0012717E;504617N,0005850E;505656N,0010156E"
17,5,145,660,"504617N,0005850E;503944N,0012717E;502405N,0004611E;503330N,0003416E;504219N,0005741E;504617N,0005850E"
18,1,175,255,"510853N,0001125W;505530N,0000602E;503700N,0003938W;505216N,0003843W;510853N,0001125W"
18,2,175,295,"505530N,0000602E;503330N,0003416E;502613N,0001508E;502957N,0003209W;503700N,0003938W;505530N,0000602E"
18,3,0,295,"502957N,0003209W;502613N,0001508E;503330N,0003416E;502405N,0004611E;500000N,0001500W;500000N,0003158W;502957N,0003209W"
19,1,255,305,"505301N,0011454W;505512N,0005908W;504139N,0010307W;504125N,0012315W;505301N,0011454W"
19,2,185,660,"504139N,0010307W;504153N,0004450W;503700N,0003938W;502957N,0003209W;500000N,0003158W;500000N,0010929W;504139N,0010307W"
19,3,345,660,"504125N,0012315W;504139N,0010307W;500000N,0010929W;500000N,0020000W;502754N,0013240W;504125N,0012315W"
19,4,185,305,"505512N,0005908W;505538N,0005554W;504848N,0005214W;504153N,0004450W;504139N,0010307W;505512N,0005908W"
19,5,175,255,"511117N,0010636N;505538N,0005554W;505301N,0011554W;511117N,0010636W"
20,1,0,305,"511527N,0020000W;511238N,0013600W;511350N,0012159W;505859N,0012811W;504946N,0013439W;504035N,0014102W;504012N,0021558W;503712N,0021731W;503947N,0023109W;504459N,0023107W;504947N,0023317W;505543N,0020000W;511527N,0020000W"
20,2,155,305,"511350N,0012159W;511117N,0010636W;505540N,0011312W;505301N,0011454W;504928N,0011735W;504946N,0013439W;505859N,0012811W;511350N,0012159W"
20,3,175,305,"511117N,0010636W;505538N,0005554W;505301N,0011454W;505540N,0011312W;511117N,0010636W"
20,4,125,305,"504946N,0013439W;504928N,0011735W;504125N,0012315W;504035N,0014102W;504946N,0013439W"
20,5,0,660,"504012N,0021558W;504035N,0014102W;503156N,0014700W;495823N,0020948W;495457N,0023012W;501745N,0022725W;503712N,0021731W;504012N,0021558W"
20,6,125,660,"504035N,0014102W;504125N,0012315W;502754N,0013240W;503156N,0014700W;504035N,0014102W"
20,7,195,660,"503156N,0014700W;502754N,0013240W;500000N,0020000W;495823N,0020948W;503156N,0014700W"
21,1,0,125,"504946N,0013439W;504928N,0011735W;502754N,0013240W;503156N,0014700W;504946N,0013439W"
21,2,0,195,"503156N,0014700W;502754N,0013240W;500000N,0020000W;495823N,0020948W;503156N,0014700W"
21,3,0,225,"502754N,0013240W;501616N,0014042W;500000N,0014301W;500000N,0020000W;502754N,0013240W"
22,1,175,255,"505301N,0011454W;505512N,0005908W;504902N,0010057W;504928N,0011735W;505301N,0011454W"
22,2,175,185,"505512N,0005908W;505538N,0005554W;504848N,0005214W;504902N,0010057W;505512N,0005908W"
22,3,125,255,"504928N,0011735W;504902N,0010057W;504139N,0010307W;504125N,0012315W;504928N,0011735W"
22,4,125,345,"504125N,0012315W;504139N,0010307W;503700N,0010351W;503700N,0012620W;504125N,0012315W"
22,5,125,185,"504902N,0010057W;504848N,0005214W;504153N,0004450W;503700N,0003938W;503700N,0010351W;504139N,0010307W;504902N,0010057W"
22,6,0,345,"503700N,0012620W;503700N,0010351W;500000N,0010929W;500000N,0014301W;501616N,0014042W;502754N,0013240W;503700N,0012620W"
22,7,0,185,"503700N,0010351W;503700N,0003938W;502957N,0003209W;500000N,0003158W;500000N,0010929W;503700N,0010351W"
22,8,225,345,"502754N,0013240W;501616N,0014042W;500000N,0014301W;500000N,0020000W;502754N,0013240W"
23,1,0,265,"520522N,0035849W;520001N,0031635W;520001N,0024700W;520916N,0020428W;514751N,0014136W;514126N,0020000W;511527N,0020000W;512905N,0034542W;520522N,0035849W"
23,2,0,275,"514751N,0014136W;514211N,0013537W;514055N,0013458W;513706N,0013350W;512624N,0012933W;511837N,0012813W;511306N,0013031W;511238N,0013600W;511527N,0020000W;514126N,0020000W;514751N,0014136W"
23,3,155,275,"514055N,0013458W;513943N,0012646W;513601N,0012453W;513706N,0013350W;514055N,0013458W"
23,4,115,275,"513706N,0013350W;513601N,0012453W;513533N,0012103W;511617N,0012057W;511350N,0012159W;511306N,0013031W;511837N,0012813W;512624N,0012933W;513706N,0013350W"
24,1,305,660,"514126N,0020000W;514931N,0013648W;520001N,0011226W;515111N,0005745W;511308N,0001558W;511027N,0020000W;514126N,0020000W"
25,1,215,245,"515336N,0014741W;515300N,0012844W;520000N,0011226W;515421N,0010257W;514319N,0012837W;513943N,0012646W;514055N,0013458W;514211N,0013537W;514751N,0014136W;515336N,0014741W"
25,2,275,305,"514751N,0014136W;514211N,0013537W;514055N,0013458W;513943N,0012646W;513601N,0012453W;513533N,0012103W;511617N,0012057W;511350N,0012159W;511238N,0013600W;511527N,0020000W;514126N,0020000W;514751N,0014136W"
25,3,215,305,"514319N,0012837W;515421N,0010257W;515111N,0005745W;510853N,0001125W;504626N,0004942W;504848N,0005214W;505538N,0005555W;511117N,0010636W;511350N,0012159W;511617N,0012057W;513533N,0012103W;513601N,0012453W;513943N,0012646W;514319N,0012837W"
25,4,255,305,"504626N,0004942W;510853N,0001125W;505433N,0000716E;503807N,0004049W;504626N,0004942W"
26,1,215,305,"520000N,0011226W;520603N,0005814W;515859N,0005202W;515350N,0004538W;514802N,0003828W;515619N,0000748W;514801N,0000008E;512715N,0003300E;510853N,0001125W;515111N,0005745W;515421N,0010257W;520000N,0011226W"
26,2,245,305,"515619N,0000748W;520228N,0001524E;512658N,0005532E;512715N,0003300E;514801N,0000008E;515619N,0000748W"
26,3,255,305,"512715N,0003300E;510834N,0003514E;510238N,0004855E;505904N,0000124E;510853N,0001125W;512715N,0003300E"
26,4,275,305,"512715N,0003300E;512704N,0004758E;510105N,0011832E;505842N,0005754E;510238N,0004855E;510834N,0003514E;512715N,0003300E"
27/32,1,285,660,"525045N,0024528W;531029N,0020557W;531225N,0015844W;530031N,0014737W;524149N,0023750W;525045N,0024528W"
27/32,2,195,660,"524149N,0023750W;530031N,0014737W;520603N,0005814W;520519N,0005956W;521049N,0010650W;521408N,0011020W;522618N,0012315W;520946N,0020500W;523251N,0023014W;524149N,0023750W"
27/32,3,215,660,"522618N,0012315W;521408N,0011020W;515942N,0015411EW;520946N,0020500W;522618N,0012315W"
27/32,4,225,660,"515942N,0015411W;521408N,0011020W;521049N,0010650W;520519N,0005956W;515300N,0012844W;515336N,0014741W;515942N,0015411W"
27/32,5,275,660,"515336N,0014741W;515300N,0012844W;514930N,0013648W;514751N,0014136W;515336N,0014741W"
27/32,6,245,305,"514751N,0014136W;514930N,0013648W;515300N,0012844W;520519N,0005956W;520603N,0005814W;515859N,0005202W;514319N,0012837W;513943N,0012646W;514055N,0013458W;514211N,0013537W;514751N,0014136W"
28,1,195,295,"530031N,0014737W;531017N,0012043W;530828N,0010317W;530016N,0010043W;522630N,0002732W;522632N,0003702W;521126N,0002220W;520448N,0003814W;515859N,0005202W;520603N,0005814W;530031N,0014737W"
28,2,245,295,"530828N,0010313W;530642N,0004627W;522626N,0001012W;522630N,0002732W;530016N,0010043W;530828N,0010313W"
28,3,215,295,"522632N,0003702W;522630N,0002732W;522626N,0001012W;522615N,0001348E;521906N,0000344W;521104N,0000528E;521104N,0000210W;515619N,0000748W;515433N,0001425W;514802N,0003828W;515859N,0005202W;520448N,0003814W;521126N,0002220W;522632N,0003702W"
28,4,245,295,"521104N,0000210W;521104N,0000528E;520228N,0001524E;515619N,0000748W;521104N,0000210W"
34,1,295,660,"530828N,0010313W;530642N,0004627W;522626N,0001012W;522615N,0001348E;521906N,0000344W;521104N,0000528E;520228N,0001524E;515619N,0000748W;515433N,0001425W;520448N,0003814W;520939N,0004942W;520603N,0005814W;523520N,0012429W;530031N,0014737W;531017N,0012043W;530828N,0010313W"
34,2,295,305,"520603N,0005814W;520939N,0004942W;520448N,0003814W;515433N,0001425W;514802N,0003828W;515859N,0005202W;520603N,0005814W"
35,1,335,660,"531148N,0053000W;531112N,0050859W;525543N,0041447W;525423N,0031838W;525340N,0025354W;525333N,0025014W;525100N,0024529W;525059N,0024529W;524149N,0023750W;523251N,0023014W;521626N,0021213W;520946N,0020500W;520916N,0020428W;514751N,0014136W;514126N,0020000W;511526N,0020000W;512905N,0034543W;512921N,0041210W;514034N,0060027W;520049N,0060720W;522000N,0053000W;525705N,0053000W;530000N,0053000W;530350N,0053000W;531034N,0053000W;531148N,0053000W"
36,1,305,660,"512921N,0041210W;512905N,0034542W;511527N,0020000W;505543N,0020000W;504024N,0020000W;504012N,0021559W;503712N,0021731W;501745N,0022725W;495457N,0023012W;493718N,0040941W;511719N,0034740W;512921N,0041210W"
GALLOWAY,1,0,255,"561400N,0040900W;560700N,0040910W;560222N,0040518W;560700N,0032938W;560700N,0025608W;555335N,0024931W;554859N,0040117W;554240N,0040911W;545116N,0031959W;541500N,0023326W;541501N,0033310W;543011N,0033535W;543242N,0033001W;550603N,0041419W;551001N,0044459W;550328N,0045044W;550750N,0050623W;551511N,0050000W;555000N,0050000W;560000N,0044400W;560432N,0043253W;561400N,0040900W"
TALLA,1,0,255,"555335N,0024931W;553805N,0025111W;552606N,0023655W;552109N,0022139W;551228N,0023022W;541500N,0021001W;541500N,0023326W;545116N,0031959W;554240N,0040911W;554859N,0024931W;555335N,0024931W"
WESTCOAST,1,0,255,"545030N,0062442W;545418N,0053000W;545715N,0051530W;551511N,0050000W;555000N,0050000W;560000N,0044400W;561400N,0040926W;572131N,0035213W;572337N,0041404W;573147N,0041203W;574511N,0042339W;592000N,0100000W;543400N,0100000W;543859N,0093320W;544500N,0090000W;552000N,0081500W;552500N,0072000W;552000N,0065500W;542500N,0081000W;54543N,0062435W;542754N,0062306W"
TAY,1,0,255,"572131N,0035213W;571145N,0021815W;570952N,0015347W;561444N,0013308W;550516N,0010020W;550000N,0005252W;550000N,0013016W;550000N,0015500W;545424N,0022410W;551228N,0023022W;552109N,0022139W;552606N,0023655W;553805N,0025111W;560008N,0024849W;560700N,0025608W;560700N,0032938W;560222N,0040518W;560700N,0040910W;561400N,0040926W;561745N,0040830W;572131N,0035213W"
MONTROSE,1,255,660,"571504N,0053633W;571440N,0042816W;572337N,0041404W;571126N,0021409W;570952N,0015347W;561444N,0013308W;552700N,0011023W;550516N,0010020W;540139N,0002720E;540147N,0013515W;541155N,0014543W;541500N,0014856W;543324N,0015629W;544252N,0020024W;551113N,0021301W;552700N,0022627W;555335N,0024931W;561837N,0033406W;561600N,0050520W;571504N,0053633W"
TYNE,1,0,660,"570952N,0015347W;563604N,0033632E;562502N,0050000E;553000N,0050000E;552536N,0034259E;552306N,0002228E;550516N,0010020W;561444N,0013308W;570952N,0015347W"
HUMBER,1,0,660,"550516N,0010020W;552306N,0002228E;552536N,0034259E;553000N,0050000E;550000N,0050000E;543000N,0043209E;531029N,0032158E;531441N,0031102E;531813N,0024400E;532302N,0024006E;532930N,0012525E;540139N,0002720E;550516N,0010020W"
DEANCROSS NORTH,1,255,660,"561600N,0050520W;561837N,0033406W;555335N,0024931W;552700N,0022627W;551113N,0021301W;550000N,0020729W;550000N,0032811W;553121N,0035809W;554700N,0053041W;561600N,0050520W"
DEANCROSS SOUTH,1,255,660,"554700N,0053041W;553121N,0035809W;550000N,0032811W;550000N,0020729W;541500N,0014856W;540147N,0013515W;540043N,0022744W;541500N,0023948W;541501N,0033310W;542027N,0033404W;550540N,0045834W;553419N,0054133W;554700N,0053041W"
RATHLIN WEST,1,255,660,"563506N,0100000W;555607N,0052248W;553419N,0054133W;550948N,0050441W;545535N,0051706W;543826N,0054307W;540319N,0061212W;542500N,0081000W;543858N,0093320W;544309N,0100000W;563506N,0100000W"
RATHLIN EAST,1,255,660,"550948N,0050441W;550540N,0045834W;542027N,0033404W;534125N,0032734W;534150N,0033649W;535439N,0040737W;535423N,0042155W;534617N,0043112W;534817N,0053000W;535500N,0053000W;540319N,0061212W;543826N,0054307W;545535N,0051706W;550948N,0050441W"
CENTRAL,1,255,660,"592000N,0100000W;585314N,0081558W;580137N,0062919W;571504N,0053633W;561600N,0050520W;555607N,0052248W;563506N,0100000W;592000N,0100000W"
HEBRIDES LOW,1,0,255,"610000N,0100000W;610000N,0070000W;610000N,0053000W;591638N,0043000W;580149N,0041700W;575446N,0043204W;574511N,0042339W;592000N,0100000W;603000N,0100000W;610000N,0100000W"
HEBRIDES HIGH,1,255,660,"610000N,0100000W;610000N,0070000W;610000N,0053000W;591638N,0043000W;573147N,0041203W;572337N,0041404W;571440N,0042816W;571504N,0053633W;580137N,0062919W;585314N,0081558W;592000N,0100000W;603000N,0100000W;610000N,0100000W"
MORAY LOW,1,0,255,"610000N,0053000W;610000N,000000E;600000N,0000000E;5720002N,0042958E;570000N,0050000E;562502N,0050000E;563604N,0033632E;571126N,0021409W;571145N,0021815W;571328N,0023400W;572337N,0041404W;573147N,0041203W;575446N,0043204W;580149N,0041700W;591638N,0043000W;610000N,0053000W"
MORAY HIGH,1,255,660,"610000N,0053000W;610000N,0000000E;600000N,0000000E;572000N,0042958E;570000N,0050000E;562502N,0050000E;563604N,0033632E;571126N,0021409W;572337N,0041404W;573147N,0041203W;591638N,0043000W;610000N,0053000W"
ANTRIM,1,0,255,"545030N,0062442W;545418N,0053000W;545715N,0051530W;550750N,0050623W;550328N,0045044W;551001N,0044459W;550603N,0041419W;543242N,0033001W;541050N,0041741W;540000N,0044046W;535515N,0045234W;534742N,0051111W;534817N,0053000W;535500N,0053000W;540543N,0062438W;542753N,0062306W"
NORTH,1,0,195,"541505N,0030504W;541500N,0023948W;541500N,0023326W;541500N,0021843W;541500N,0021000W;532804N,0013856W;532124N,0013205W;532356N,0015955W;532125N,0021544W;533911N,0023953W;533918N,0023900W;541505N,0030504W"
EAST,1,0,285,"541519N,0020855W;544301N,0020027W;550000N,0015506W;550000N,0013022W;541153N,0014549W;540147N,0013515W;540147N,0003928W;540145N,0001852W;540145N,0000602E;533539N,0002756E;533230N,0005044E;532856N,0005708E;525325N,0004613E;530426N,0004422W;530642N,0004627W;531020N,0012046W;532124N,0013205W;532804N,0013856W;541500N,0021000W;541519N,0020855W"
SE TRENT,1,0,195,"532125N,0021544W;532356N,0015955W;532124N,0013205W;531020N,0012046W;524618N,0005633W;523259N,0013025W;524448N,0014310W;524817N,0014623W;532125N,0021544W"
SE TRENT,2,95,195,"524938N,0013020W;525017N,001038W;524806N,0005821W;524006N,0013249W;524938N,0013020W"
SE TRENT,3,135,195,"524006N,0013249W;524806N,0005821W;524616N,0005631W;523259N,0013025W;524006N,0013249W"
SE STAFA,1,0,195,"532125N,0021544W;524817N,0014623W;524448N,0014310W;523259N,0013025W;522406N,0015251W;521716N,0021007W;521716N,0021007W;521629N,0021216W;523251N,0023014W;525038N,0024527W;530006N,0024504W;532125N,0021544W"
WALLASEY,1,0,195,"532125N,0021544W;530006N,0024504W;525318N,0024534W;525419N,0031839W;530812N,0031736W;531226N,0032536W;532318N,0032449W;534125N,0032734W;533910N,0023952W;532125N,0021544W"
ISLE OF MAN,1,0,255,"543000N,0033559W;534125N,0032734W;534149N,0033649W;535358N,0040608W;535419N,0042151W;534617N,0043112W;534742N,0051111W;543000N,0033559W"
ISLE OF MAN,2,0,195,"541500N,0033305W;541500N,0030456W;533918N,0023900W;534125N,0032734W;541500N,0033305W"
ISLE OF MAN,3,0,285,"534742N,0051111W;534617N,0043112W;535419N,0042151W;535358N,0040608W;534149N,0033649W;534125N,0032734W;531226N,0032536W;531957N,0033954W;532315N,0051017W;531500N,0053000W;534545N,0053000W;534526N,0051644W;534742N,0051111W"
ISLE OF MAN,4,195,285,"531614N,0052704W;532315N,0051017W;531957N,0033954W;531226N,0032536W;525433N,0032659W;525542N,0041447W;531112N,0050858W;531148N,0053000W;531500N,0053000W;531614N,0052704W"
ISLE OF MAN,5,255,285,"534742N,0051111W;534526N,0051644W;534548N,0053000W;534817N,0053000W"
S29,1,195,285,"541501N,0033310W;541505N,0030504W;541500N,0023948W;541500N,0023326W;541500N,0021843W;541500N,0021000W;532804N,0013856W;532124N,0013205W;531020N,0012046W;530033N,0014739W;525757N,0015444W;524149N,0023750W;525038N,0024527W;525100N,0024529W;525326N,0025000W;525419N,0031839W;525433N,0032659W;531228N,0032541W;532319N,0032449W;534125N,0032734W;541501N,0033310W"
